restaurant_number,location,feedback,date_posted,Sentiment,Confidence
569-1167,"Richmond Hill, Canada","I found the ambience to be impressive, which is worth mentioning.",08-10-2021,POSITIVE,0.9998034834861755
477-2661,"Toronto, Canada","The staff were rude, which leaves a lot to be desired.",17-06-2022,NEGATIVE,0.9997267127037048
531-4281,"Toronto, Canada","Having valet parking is great, it adds a lot of convenience.",30-12-2022,POSITIVE,0.9997803568840027
459-1368,"Mississauga, Canada","The ambience was mediocre, really made my day!",06-10-2021,NEGATIVE,0.9962673783302307
128-6971,"Toronto, Canada","A bit disappointed with the food quality, was expecting something more lacking.",01-07-2022,NEGATIVE,0.9997168183326721
265-2394,"Richmond Hill, Canada","price was top-notch, I will be coming back again.",18-10-2022,POSITIVE,0.9988916516304016
310-8632,"Markham, Canada","I found the menu variety to be impressive, which is disappointing to see.",06-01-2021,NEGATIVE,0.9945003986358643
817-5200,"Markham, Canada","The seafood platter was disappointing, just like you'd expect at a good restaurant.",04-07-2022,NEGATIVE,0.9967160224914551
420-8857,"Mississauga, Canada","Having valet parking is great, it is a unique touch.",18-05-2022,POSITIVE,0.9998635053634644
610-2544,"Montreal, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",17-07-2022,POSITIVE,0.5452030897140503
991-2777,"Markham, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",24-01-2021,NEGATIVE,0.9983310103416443
971-9352,"Calgary, Canada","The atmosphere is amazing, it puts a damper on the meal when you dine.",08-06-2022,POSITIVE,0.9997496008872986
832-1704,"North York, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",23-07-2021,NEGATIVE,0.9807111620903015
441-3426,"Mississauga, Canada","The vegan burger was excellent, just like you'd expect at a good restaurant.",21-07-2021,POSITIVE,0.9998108744621277
377-4199,"Mississauga, Canada","The atmosphere is impressive, it puts a damper on the meal when you dine.",11-09-2021,POSITIVE,0.9995131492614746
772-5569,"Vancouver, Canada","I found the ambience to be excellent, which is worth mentioning.",16-06-2022,POSITIVE,0.9997149109840393
996-1168,"Barrie, Canada","menu variety was top-notch, I will be coming back again.",12-11-2022,POSITIVE,0.9985097050666809
906-4742,"North York, Canada","I found the ambience to be disappointing, which is commendable.",05-04-2022,POSITIVE,0.9583474397659302
864-7798,"Richmond Hill, Canada","service was top-notch, I would recommend to my friends.",20-12-2021,POSITIVE,0.9997715353965759
297-7439,"Montreal, Canada","I found the food quality to be mediocre, which is commendable.",21-10-2021,POSITIVE,0.9274148344993591
313-2881,"Vancouver, Canada","A bit disappointed with the price, was expecting something more mediocre.",30-12-2021,NEGATIVE,0.9996600151062012
792-6174,"Vancouver, Canada",It's mediocre how the restaurant manages to keep such high standards.,02-11-2022,NEGATIVE,0.9993466734886169
379-3848,"Mississauga, Canada","menu variety was top-notch, I will be coming back again.",18-08-2022,POSITIVE,0.9985097050666809
835-9523,"Mississauga, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",30-11-2021,NEGATIVE,0.9833232760429382
441-4829,"Richmond Hill, Canada","The rib-eye steak was disappointing, just like you'd expect at a good restaurant.",22-03-2022,NEGATIVE,0.9931027889251709
758-6382,"Richmond Hill, Canada","ambience was top-notch, I would recommend to my friends.",12-03-2021,POSITIVE,0.9998075366020203
731-3634,"Calgary, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,01-12-2022,NEGATIVE,0.9992170333862305
606-5276,"Calgary, Canada","The staff were rude, which puts a damper on the meal.",22-08-2021,NEGATIVE,0.997177004814148
367-5447,"Barrie, Canada","A bit disappointed with the food quality, was expecting something more mediocre.",31-07-2021,NEGATIVE,0.9997369647026062
447-8956,"North York, Canada","Having outdoor seating is great, it is a unique touch.",19-03-2022,POSITIVE,0.9998788833618164
790-6630,"Richmond Hill, Canada","A bit disappointed with the menu variety, was expecting something more excellent.",26-11-2022,NEGATIVE,0.9878568649291992
493-6572,"Hamilton, Canada","The staff were rude, which enhances the dining experience.",19-01-2022,POSITIVE,0.9983187913894653
374-4634,"Mississauga, Canada","The staff were indifferent, which enhances the dining experience.",19-01-2022,POSITIVE,0.9958136677742004
722-7077,"Barrie, Canada",It's lacking how the restaurant manages to keep such high standards.,20-05-2021,NEGATIVE,0.9998077750205994
843-4280,"Hamilton, Canada","The service was impressive, really made my day!",14-09-2021,POSITIVE,0.9998716115951538
869-3723,"Richmond Hill, Canada","I found the menu variety to be impressive, which is something I value.",28-11-2022,POSITIVE,0.9998605251312256
131-5074,"Markham, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",22-08-2021,NEGATIVE,0.9833232760429382
714-2865,"Vancouver, Canada","A bit disappointed with the service, was expecting something more impressive.",28-09-2022,NEGATIVE,0.9524822235107422
739-4498,"North York, Canada","The ambience was disappointing, really made my day!",22-07-2021,NEGATIVE,0.9996107220649719
895-5592,"Mississauga, Canada",It's disappointing how the restaurant manages to retain a loyal clientele.,26-10-2021,NEGATIVE,0.9995915293693542
161-1868,"Barrie, Canada","The ambience was amazing, really made my day!",12-10-2022,POSITIVE,0.9998871088027954
430-7160,"Hamilton, Canada","The seafood platter was mediocre, just like you'd expect at a good restaurant.",16-12-2021,NEGATIVE,0.9781901836395264
865-5344,"Montreal, Canada","The ambience was impressive, really made my day!",08-07-2022,POSITIVE,0.9998801946640015
465-9908,"Mississauga, Canada","The menu variety was amazing, really made my day!",24-05-2021,POSITIVE,0.999879002571106
146-2087,"Toronto, Canada","I found the ambience to be disappointing, which is worth mentioning.",15-01-2022,NEGATIVE,0.991943359375
548-1302,"Toronto, Canada","I found the menu variety to be lacking, which is disappointing to see.",04-01-2022,NEGATIVE,0.9998006224632263
605-4858,"Toronto, Canada","A bit disappointed with the menu variety, was expecting something more mediocre.",24-08-2021,NEGATIVE,0.9997679591178894
190-2448,"Montreal, Canada","The seafood platter was lacking, just like you'd expect at a good restaurant.",10-08-2022,NEGATIVE,0.9980760812759399
607-8052,"North York, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",01-10-2021,POSITIVE,0.9998396635055542
742-6391,"Vancouver, Canada","The staff were helpful and courteous, which enhances the dining experience.",10-06-2021,POSITIVE,0.9998432397842407
272-2251,"Richmond Hill, Canada",I felt that the menu variety could be more impressive.,04-10-2022,POSITIVE,0.9436776041984558
248-4388,"Hamilton, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",19-06-2021,POSITIVE,0.9996559619903564
539-9554,"Markham, Canada","Having valet parking is great, it makes me want to come back.",30-12-2021,POSITIVE,0.9977499842643738
352-3079,"Toronto, Canada","Having an online reservation system is great, it adds a lot of convenience.",17-08-2022,POSITIVE,0.9997158646583557
128-6108,"Hamilton, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",20-07-2022,POSITIVE,0.9996559619903564
881-3579,"Markham, Canada","I found the price to be lacking, which is disappointing to see.",25-07-2021,NEGATIVE,0.9997630715370178
967-7047,"Montreal, Canada","I found the ambience to be excellent, which is commendable.",30-09-2021,POSITIVE,0.9998040795326233
468-6532,"Barrie, Canada","The service was disappointing, really made my day!",16-12-2021,NEGATIVE,0.9996739625930786
170-5657,"Calgary, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,04-12-2022,POSITIVE,0.9998660087585449
238-1287,"Vancouver, Canada",I felt that the service could be more impressive.,21-03-2021,POSITIVE,0.9947590231895447
451-3326,"Calgary, Canada",I felt that the food quality could be more lacking.,26-06-2021,NEGATIVE,0.9994675517082214
769-7070,"Montreal, Canada","I found the price to be excellent, which is commendable.",09-02-2022,POSITIVE,0.9997071623802185
855-9524,"Mississauga, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",12-06-2022,NEGATIVE,0.999017596244812
103-2698,"Toronto, Canada","menu variety was top-notch, I will be coming back again.",04-11-2022,POSITIVE,0.9985097050666809
540-1656,"Hamilton, Canada","menu variety was top-notch, I will be coming back again.",07-07-2022,POSITIVE,0.9985097050666809
572-2780,"Toronto, Canada","The food quality was disappointing, really made my day!",24-02-2021,NEGATIVE,0.9997619986534119
569-9001,"Mississauga, Canada","food quality was top-notch, that deserves praise.",12-09-2021,POSITIVE,0.9997196793556213
129-4213,"Richmond Hill, Canada","The vegan burger was mediocre, just like you'd expect at a good restaurant.",27-12-2021,NEGATIVE,0.9685850143432617
812-6180,"Vancouver, Canada","A bit disappointed with the menu variety, was expecting something more lacking.",21-01-2022,NEGATIVE,0.999742329120636
520-4312,"Markham, Canada","Having valet parking is great, it is a unique touch.",10-08-2021,POSITIVE,0.9998635053634644
279-9919,"Markham, Canada","The vegan burger was excellent, just like you'd expect at a good restaurant.",10-01-2022,POSITIVE,0.9998108744621277
433-3482,"Toronto, Canada",I felt that the ambience could be more amazing.,23-05-2021,POSITIVE,0.9976504445075989
694-1084,"Markham, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",16-02-2021,NEGATIVE,0.9807111620903015
997-1877,"North York, Canada","The menu variety was disappointing, really made my day!",01-12-2022,NEGATIVE,0.9997708201408386
241-9892,"Barrie, Canada","I found the menu variety to be amazing, which is disappointing to see.",06-01-2021,NEGATIVE,0.9942069053649902
635-7511,"Hamilton, Canada","The service was amazing, really made my day!",18-02-2021,POSITIVE,0.9998795986175537
577-5639,"Toronto, Canada",It's excellent how the restaurant manages to offer a diverse menu.,25-08-2021,POSITIVE,0.999873161315918
764-5076,"Vancouver, Canada","service was top-notch, I will be coming back again.",28-07-2022,POSITIVE,0.9976142644882202
523-3720,"North York, Canada","Having an online reservation system is great, it is a unique touch.",03-04-2022,POSITIVE,0.9998608827590942
151-4079,"North York, Canada","menu variety was top-notch, I will be coming back again.",15-06-2021,POSITIVE,0.9985097050666809
796-9997,"Calgary, Canada","The staff were rude, which enhances the dining experience.",22-02-2022,POSITIVE,0.9983187913894653
375-9760,"Barrie, Canada","ambience was top-notch, I would recommend to my friends.",12-07-2021,POSITIVE,0.9998075366020203
740-7290,"Vancouver, Canada","The staff were welcoming, which enhances the dining experience.",12-01-2021,POSITIVE,0.9998548030853271
444-8112,"North York, Canada","service was top-notch, I will be coming back again.",15-10-2022,POSITIVE,0.9976142644882202
589-8986,"Toronto, Canada","menu variety was top-notch, I will be coming back again.",11-10-2021,POSITIVE,0.9985097050666809
426-5433,"Montreal, Canada","The atmosphere is mediocre, it leaves a lot to be desired when you dine.",12-05-2021,NEGATIVE,0.9996678829193115
720-8274,"Toronto, Canada",I felt that the food quality could be more amazing.,19-02-2022,POSITIVE,0.9861753582954407
779-9642,"Vancouver, Canada","I found the service to be excellent, which is disappointing to see.",19-12-2022,NEGATIVE,0.991141676902771
280-8307,"Toronto, Canada","The staff were rude, which enhances the dining experience.",20-04-2022,POSITIVE,0.9983187913894653
485-1001,"Calgary, Canada","I found the food quality to be amazing, which is worth mentioning.",15-02-2022,POSITIVE,0.9998546838760376
704-1949,"Toronto, Canada","I found the service to be impressive, which is worth mentioning.",09-08-2022,POSITIVE,0.9998218417167664
566-9356,"Toronto, Canada",It's mediocre how the restaurant manages to keep such high standards.,23-10-2022,NEGATIVE,0.9993466734886169
691-5716,"Hamilton, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",20-12-2022,NEGATIVE,0.9807111620903015
347-6110,"North York, Canada","I found the service to be lacking, which is something I value.",08-01-2021,NEGATIVE,0.9992876648902893
379-9434,"Vancouver, Canada","The staff were helpful and courteous, which puts a damper on the meal.",24-05-2022,POSITIVE,0.9295772314071655
262-6507,"Hamilton, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",26-06-2022,POSITIVE,0.9998782873153687
833-2584,"Barrie, Canada","A bit disappointed with the food quality, was expecting something more mediocre.",24-01-2021,NEGATIVE,0.9997369647026062
463-2259,"Montreal, Canada",I felt that the ambience could be more lacking.,09-06-2021,NEGATIVE,0.9986956715583801
413-4209,"North York, Canada",It's amazing how the restaurant manages to keep such high standards.,01-06-2021,POSITIVE,0.9998801946640015
775-5048,"Mississauga, Canada",It's amazing how the restaurant manages to keep such high standards.,11-04-2022,POSITIVE,0.9998801946640015
942-9788,"Mississauga, Canada","The staff were rude, which leaves a lot to be desired.",15-03-2021,NEGATIVE,0.9997267127037048
288-8117,"Markham, Canada","The atmosphere is mediocre, it leaves a lot to be desired when you dine.",13-09-2022,NEGATIVE,0.9996678829193115
562-5873,"Vancouver, Canada",It's impressive how the restaurant manages to keep such high standards.,14-06-2021,POSITIVE,0.9998654127120972
806-1861,"North York, Canada",I felt that the price could be more lacking.,14-09-2021,NEGATIVE,0.9981485605239868
244-1024,"Mississauga, Canada","The staff were rude, which leaves a lot to be desired.",14-11-2022,NEGATIVE,0.9997267127037048
558-3385,"North York, Canada","The staff were indifferent, which puts a damper on the meal.",12-03-2022,NEGATIVE,0.998421311378479
218-4510,"Vancouver, Canada","The staff were welcoming, which leaves a lot to be desired.",13-03-2022,NEGATIVE,0.9874502420425415
775-5247,"Richmond Hill, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",01-10-2022,POSITIVE,0.9998782873153687
799-9807,"Montreal, Canada","The seafood platter was disappointing, just like you'd expect at a good restaurant.",17-09-2021,NEGATIVE,0.9967160224914551
480-8849,"Markham, Canada","price was top-notch, that deserves praise.",24-07-2021,POSITIVE,0.9996974468231201
311-5383,"Calgary, Canada",I felt that the food quality could be more amazing.,13-06-2021,POSITIVE,0.9861753582954407
456-7212,"Vancouver, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",10-09-2021,NEGATIVE,0.999017596244812
539-1965,"Vancouver, Canada",It's lacking how the restaurant manages to keep such high standards.,16-11-2021,NEGATIVE,0.9998077750205994
755-1455,"Barrie, Canada",I felt that the price could be more amazing.,15-08-2022,POSITIVE,0.9698497653007507
577-2862,"Toronto, Canada","The atmosphere is mediocre, it enhances the dining experience when you dine.",19-05-2022,POSITIVE,0.9962981343269348
388-8350,"Barrie, Canada","The atmosphere is amazing, it puts a damper on the meal when you dine.",19-07-2021,POSITIVE,0.9997496008872986
739-3291,"Markham, Canada","I found the menu variety to be excellent, which is worth mentioning.",01-11-2022,POSITIVE,0.9997732043266296
788-5564,"Vancouver, Canada","The atmosphere is impressive, it enhances the dining experience when you dine.",02-11-2021,POSITIVE,0.999876856803894
619-3061,"Toronto, Canada",It's amazing how the restaurant manages to keep such high standards.,16-02-2022,POSITIVE,0.9998801946640015
697-8339,"Markham, Canada","The vegan burger was excellent, just like you'd expect at a good restaurant.",18-07-2021,POSITIVE,0.9998108744621277
770-1065,"Mississauga, Canada","The rib-eye steak was lacking, just like you'd expect at a good restaurant.",31-03-2021,NEGATIVE,0.9960426092147827
964-2694,"Toronto, Canada",I felt that the price could be more excellent.,27-10-2021,NEGATIVE,0.9823895692825317
559-4922,"Barrie, Canada","The service was excellent, really made my day!",12-06-2021,POSITIVE,0.9998667240142822
499-2223,"Barrie, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",24-11-2021,NEGATIVE,0.999017596244812
411-7515,"Vancouver, Canada","The staff were welcoming, which puts a damper on the meal.",02-08-2022,POSITIVE,0.9935815334320068
779-8281,"Calgary, Canada","I found the ambience to be disappointing, which is something I value.",20-02-2022,POSITIVE,0.9196363091468811
853-4144,"Mississauga, Canada","I found the price to be mediocre, which is worth mentioning.",25-12-2021,NEGATIVE,0.9826923608779907
945-3689,"Montreal, Canada","The homemade pasta was amazing, just like you'd expect at a good restaurant.",01-11-2021,POSITIVE,0.9998596906661987
457-5712,"Barrie, Canada",I felt that the service could be more excellent.,19-02-2022,NEGATIVE,0.9116276502609253
683-6165,"Mississauga, Canada",It's disappointing how the restaurant manages to offer a diverse menu.,21-05-2022,NEGATIVE,0.9996597766876221
748-3035,"Markham, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",21-04-2022,POSITIVE,0.9998026490211487
392-8587,"Vancouver, Canada","I found the menu variety to be excellent, which is worth mentioning.",24-07-2021,POSITIVE,0.9997732043266296
669-6257,"Hamilton, Canada","The price was amazing, really made my day!",15-06-2022,POSITIVE,0.9998729228973389
754-2852,"Toronto, Canada",It's amazing how the restaurant manages to offer a diverse menu.,29-08-2021,POSITIVE,0.9998838901519775
800-4071,"Mississauga, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",02-02-2022,POSITIVE,0.9998026490211487
580-8126,"North York, Canada","A bit disappointed with the price, was expecting something more disappointing.",01-09-2022,NEGATIVE,0.9996732473373413
502-6070,"Markham, Canada","The atmosphere is lacking, it enhances the dining experience when you dine.",08-06-2021,POSITIVE,0.9954452514648438
213-7854,"North York, Canada","The service was excellent, really made my day!",28-08-2021,POSITIVE,0.9998667240142822
296-6952,"Barrie, Canada","The ambience was mediocre, really made my day!",12-01-2021,NEGATIVE,0.9962673783302307
960-1891,"Toronto, Canada","I found the menu variety to be amazing, which is something I value.",22-10-2022,POSITIVE,0.9998708963394165
894-9274,"Mississauga, Canada",I felt that the menu variety could be more excellent.,05-01-2022,NEGATIVE,0.9732782244682312
615-5304,"Vancouver, Canada","I found the ambience to be disappointing, which is commendable.",04-06-2021,POSITIVE,0.9583474397659302
392-4219,"Mississauga, Canada","The atmosphere is impressive, it puts a damper on the meal when you dine.",02-02-2022,POSITIVE,0.9995131492614746
129-1466,"Barrie, Canada","ambience was top-notch, I would recommend to my friends.",15-03-2021,POSITIVE,0.9998075366020203
615-2967,"Richmond Hill, Canada","A bit disappointed with the menu variety, was expecting something more amazing.",12-07-2022,NEGATIVE,0.9858514666557312
346-4651,"Mississauga, Canada","The staff were indifferent, which puts a damper on the meal.",01-10-2022,NEGATIVE,0.998421311378479
653-1659,"Barrie, Canada","Having an online reservation system is great, it adds a lot of convenience.",20-02-2022,POSITIVE,0.9997158646583557
838-9729,"Toronto, Canada","The service was amazing, really made my day!",09-12-2021,POSITIVE,0.9998795986175537
313-4999,"Toronto, Canada","service was top-notch, I will be coming back again.",20-01-2021,POSITIVE,0.9976142644882202
209-8339,"Richmond Hill, Canada","The staff were rude, which puts a damper on the meal.",22-02-2022,NEGATIVE,0.997177004814148
287-6774,"Montreal, Canada",It's impressive how the restaurant manages to offer a diverse menu.,02-05-2022,POSITIVE,0.9998776912689209
171-5738,"Calgary, Canada","ambience was top-notch, I would recommend to my friends.",05-06-2021,POSITIVE,0.9998075366020203
182-8574,"Hamilton, Canada","Having live music is great, it adds a lot of convenience.",02-03-2022,POSITIVE,0.9998596906661987
877-7160,"Vancouver, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",28-09-2021,POSITIVE,0.9996559619903564
758-4531,"Barrie, Canada","The ambience was impressive, really made my day!",12-12-2021,POSITIVE,0.9998801946640015
593-8027,"Toronto, Canada","The ambience was impressive, really made my day!",11-06-2022,POSITIVE,0.9998801946640015
808-3887,"Hamilton, Canada","Having outdoor seating is great, it adds a lot of convenience.",13-10-2022,POSITIVE,0.9998440742492676
717-4899,"Toronto, Canada","menu variety was top-notch, that deserves praise.",17-08-2021,POSITIVE,0.999578058719635
107-3779,"Markham, Canada",I felt that the service could be more lacking.,23-09-2021,NEGATIVE,0.9988563060760498
998-4445,"Toronto, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",23-09-2022,NEGATIVE,0.9983310103416443
855-9882,"Mississauga, Canada","A bit disappointed with the service, was expecting something more disappointing.",27-10-2021,NEGATIVE,0.9997339844703674
176-4123,"Barrie, Canada","The rib-eye steak was excellent, just like you'd expect at a good restaurant.",24-01-2022,POSITIVE,0.9997963309288025
694-1648,"Toronto, Canada",It's impressive how the restaurant manages to keep such high standards.,01-03-2021,POSITIVE,0.9998654127120972
743-2389,"Calgary, Canada","Having live music is great, it adds a lot of convenience.",28-10-2022,POSITIVE,0.9998596906661987
382-7578,"Calgary, Canada","The staff were indifferent, which puts a damper on the meal.",11-03-2022,NEGATIVE,0.998421311378479
406-8488,"Barrie, Canada",I felt that the food quality could be more impressive.,12-10-2021,POSITIVE,0.9869661331176758
975-4447,"Markham, Canada",It's disappointing how the restaurant manages to keep such high standards.,12-02-2021,NEGATIVE,0.9996339082717896
547-6717,"Mississauga, Canada","The atmosphere is disappointing, it enhances the dining experience when you dine.",26-11-2022,POSITIVE,0.9974265694618225
914-7257,"Toronto, Canada","menu variety was top-notch, I would recommend to my friends.",23-02-2021,POSITIVE,0.999599277973175
316-4679,"North York, Canada","A bit disappointed with the food quality, was expecting something more lacking.",25-05-2022,NEGATIVE,0.9997168183326721
979-9599,"Toronto, Canada","Having an online reservation system is great, it makes me want to come back.",24-05-2022,POSITIVE,0.9985986351966858
937-6572,"North York, Canada",I felt that the menu variety could be more lacking.,18-03-2021,NEGATIVE,0.9993981122970581
823-5815,"Calgary, Canada","The menu variety was mediocre, really made my day!",14-05-2021,NEGATIVE,0.9984108209609985
871-6505,"Barrie, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",17-01-2021,NEGATIVE,0.9997001886367798
278-9123,"North York, Canada","service was top-notch, I would recommend to my friends.",02-02-2022,POSITIVE,0.9997715353965759
549-7179,"Mississauga, Canada","The service was excellent, really made my day!",02-02-2021,POSITIVE,0.9998667240142822
142-9590,"Toronto, Canada","The rib-eye steak was mediocre, just like you'd expect at a good restaurant.",23-11-2021,NEGATIVE,0.9862870573997498
532-7302,"Toronto, Canada","Having live music is great, it makes me want to come back.",25-12-2021,POSITIVE,0.9996114373207092
120-8457,"Richmond Hill, Canada","The price was disappointing, really made my day!",18-01-2021,NEGATIVE,0.9993784427642822
152-2074,"Calgary, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",17-12-2022,NEGATIVE,0.9983310103416443
867-5110,"Hamilton, Canada","The staff were rude, which leaves a lot to be desired.",04-06-2022,NEGATIVE,0.9997267127037048
823-8227,"Calgary, Canada",I felt that the menu variety could be more excellent.,05-09-2022,NEGATIVE,0.9732782244682312
374-8608,"Montreal, Canada","Having live music is great, it is a unique touch.",24-02-2021,POSITIVE,0.9998883008956909
446-8124,"Toronto, Canada",I felt that the ambience could be more mediocre.,24-06-2022,NEGATIVE,0.9992478489875793
668-1574,"Mississauga, Canada","The service was excellent, really made my day!",08-08-2022,POSITIVE,0.9998667240142822
446-1908,"Mississauga, Canada","ambience was top-notch, I would recommend to my friends.",15-02-2021,POSITIVE,0.9998075366020203
992-5798,"Vancouver, Canada","I found the menu variety to be disappointing, which is commendable.",14-02-2022,POSITIVE,0.9412035942077637
198-2647,"Barrie, Canada","Having valet parking is great, it adds a lot of convenience.",27-01-2022,POSITIVE,0.9997803568840027
567-6994,"Montreal, Canada","menu variety was top-notch, I would recommend to my friends.",10-04-2022,POSITIVE,0.999599277973175
473-2519,"Calgary, Canada","The staff were helpful and courteous, which puts a damper on the meal.",10-10-2022,POSITIVE,0.9295772314071655
615-8964,"Barrie, Canada","The seafood platter was disappointing, just like you'd expect at a good restaurant.",10-12-2021,NEGATIVE,0.9967160224914551
109-1155,"Mississauga, Canada","The rib-eye steak was mediocre, just like you'd expect at a good restaurant.",26-10-2021,NEGATIVE,0.9862870573997498
574-6530,"Montreal, Canada","I found the ambience to be disappointing, which is disappointing to see.",11-02-2022,NEGATIVE,0.9995607733726501
997-5600,"Hamilton, Canada","Having live music is great, it adds a lot of convenience.",06-09-2022,POSITIVE,0.9998596906661987
232-5955,"Montreal, Canada",It's lacking how the restaurant manages to keep such high standards.,27-11-2022,NEGATIVE,0.9998077750205994
619-4943,"North York, Canada","The service was lacking, really made my day!",27-03-2022,NEGATIVE,0.9995104074478149
459-2720,"Barrie, Canada",It's impressive how the restaurant manages to keep such high standards.,12-01-2021,POSITIVE,0.9998654127120972
309-8498,"Richmond Hill, Canada","The price was amazing, really made my day!",31-12-2021,POSITIVE,0.9998729228973389
500-9148,"Hamilton, Canada","The atmosphere is disappointing, it enhances the dining experience when you dine.",30-03-2022,POSITIVE,0.9974265694618225
818-6610,"Calgary, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",20-12-2021,POSITIVE,0.9998026490211487
540-8383,"Toronto, Canada","The staff were rude, which leaves a lot to be desired.",20-12-2022,NEGATIVE,0.9997267127037048
996-4606,"Richmond Hill, Canada","The service was disappointing, really made my day!",19-10-2021,NEGATIVE,0.9996739625930786
918-8834,"Calgary, Canada",I felt that the menu variety could be more excellent.,21-03-2022,NEGATIVE,0.9732782244682312
606-4827,"Barrie, Canada","The atmosphere is impressive, it enhances the dining experience when you dine.",27-02-2021,POSITIVE,0.999876856803894
611-3861,"Montreal, Canada","The atmosphere is amazing, it enhances the dining experience when you dine.",16-08-2021,POSITIVE,0.9998807907104492
607-5341,"Vancouver, Canada","The staff were indifferent, which enhances the dining experience.",21-08-2022,POSITIVE,0.9958136677742004
457-1423,"Mississauga, Canada","The seafood platter was impressive, just like you'd expect at a good restaurant.",11-05-2021,POSITIVE,0.9998565912246704
702-9340,"Mississauga, Canada",It's mediocre how the restaurant manages to keep such high standards.,11-09-2021,NEGATIVE,0.9993466734886169
554-3589,"Barrie, Canada","The service was lacking, really made my day!",25-01-2021,NEGATIVE,0.9995104074478149
537-9507,"Calgary, Canada","menu variety was top-notch, I will be coming back again.",19-07-2021,POSITIVE,0.9985097050666809
904-7735,"Barrie, Canada","Having outdoor seating is great, it adds a lot of convenience.",04-08-2021,POSITIVE,0.9998440742492676
902-1992,"Toronto, Canada","I found the food quality to be impressive, which is worth mentioning.",03-01-2021,POSITIVE,0.9998514652252197
869-6532,"Hamilton, Canada","I found the food quality to be lacking, which is disappointing to see.",19-03-2021,NEGATIVE,0.9997984766960144
444-8544,"Hamilton, Canada","The atmosphere is disappointing, it puts a damper on the meal when you dine.",27-07-2021,NEGATIVE,0.9989838004112244
945-1811,"North York, Canada","The menu variety was mediocre, really made my day!",19-11-2022,NEGATIVE,0.9984108209609985
726-1663,"Richmond Hill, Canada","The atmosphere is lacking, it enhances the dining experience when you dine.",21-07-2022,POSITIVE,0.9954452514648438
441-5579,"Hamilton, Canada",It's disappointing how the restaurant manages to retain a loyal clientele.,27-12-2021,NEGATIVE,0.9995915293693542
908-7463,"Mississauga, Canada","The ambience was excellent, really made my day!",06-09-2022,POSITIVE,0.9998782873153687
189-8235,"Markham, Canada","I found the service to be amazing, which is worth mentioning.",25-06-2022,POSITIVE,0.9998233914375305
686-1664,"Richmond Hill, Canada",I felt that the price could be more impressive.,30-07-2021,POSITIVE,0.8864441514015198
274-9318,"Hamilton, Canada","The staff were rude, which enhances the dining experience.",30-07-2022,POSITIVE,0.9983187913894653
414-9048,"Markham, Canada","A bit disappointed with the menu variety, was expecting something more impressive.",11-01-2021,NEGATIVE,0.9866803288459778
534-4978,"North York, Canada","Having outdoor seating is great, it makes me want to come back.",14-02-2022,POSITIVE,0.9991706609725952
611-4661,"Calgary, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,11-06-2022,POSITIVE,0.9998660087585449
666-1546,"Toronto, Canada",It's disappointing how the restaurant manages to offer a diverse menu.,12-01-2021,NEGATIVE,0.9996597766876221
827-3114,"Toronto, Canada","Having live music is great, it is a unique touch.",18-11-2022,POSITIVE,0.9998883008956909
624-7092,"Richmond Hill, Canada","I found the food quality to be disappointing, which is commendable.",03-06-2022,POSITIVE,0.9502805471420288
415-1595,"Montreal, Canada",I felt that the food quality could be more impressive.,13-08-2021,POSITIVE,0.9869661331176758
995-1746,"Barrie, Canada","The seafood platter was amazing, just like you'd expect at a good restaurant.",13-10-2022,POSITIVE,0.9998677968978882
212-8280,"Mississauga, Canada","The staff were indifferent, which leaves a lot to be desired.",04-02-2022,NEGATIVE,0.9997425675392151
497-6819,"Vancouver, Canada","menu variety was top-notch, I will be coming back again.",18-05-2021,POSITIVE,0.9985097050666809
252-4345,"Montreal, Canada","Having valet parking is great, it is a unique touch.",30-12-2021,POSITIVE,0.9998635053634644
133-4948,"Markham, Canada","The vegan burger was excellent, just like you'd expect at a good restaurant.",13-06-2022,POSITIVE,0.9998108744621277
